Season,Players,Type,Sold Price,Team,Overseas,Mat,Inns,No,Runs,Ave,BF,SR,Wickets
2020,Dale Steyn,BOW,2,Royal Challengers Bangalore,1,3,1,1,1,-,2,50,1
2021,Daniel Christian,AR,4.8,Royal Challengers Bangalore,1,9,7,1,14,2.33,24,58.33,4
2023,Daniel Sams,AR,0.75,Lucknow Super Giants,1,0,0,0,0,0,0,0,0
2022,Daniel Sams,AR,2.6,Mumbai Indians,1,11,10,3,38,5.42,36,105.55,13
2021,Daniel Sams,AR,0.3,Royal Challengers Bangalore,1,2,2,1,6,6,6,100,1
2024,Darshan Nalkande,AR,0.2,Gujarat Titans,,3,1,0,12,12,11,109.09,3
2023,Darshan Nalkande,AR,0.2,Gujarat Titans,,1,1,0,0,0,1,0,1
2022,Darshan Nalkande,AR,0.2,Gujarat Titans,,2,0,0,0,0,0,0,2
2021,Darshan Nalkande,AR,0.3,Punjab Kings,,0,0,0,0,0,0,0,0
2020,Darshan Nalkande,AR,0.3,Punjab Kings,,0,0,0,0,0,0,0,0
2024,Daryl Mitchell,AR,14,Chennai Super Kings,1,13,13,2,318,28.9,223,142.6,1
2022,Daryl Mitchell,AR,0.75,Rajasthan Royals,1,2,2,0,33,16.5,44,75,0
2024,David Miller,BAT,3,Gujarat Titans,1,9,9,3,210,35,139,151.07,0
2023,David Miller,BAT,3,Gujarat Titans,1,16,13,5,259,32.37,178,145.5,0
2022,David Miller,BAT,3,Gujarat Titans,1,16,16,9,481,68.71,337,142.72,0
2021,David Miller,BAT,0.75,Rajasthan Royals,1,9,8,3,124,24.8,113,109.73,0
2020,David Miller,BAT,0.75,Rajasthan Royals,1,1,1,0,0,0,0,-,0
2024,David Warner,BAT,6.25,Delhi Capitals,1,8,8,0,168,21,125,134.4,0
2023,David Warner,BAT,6.25, Delhi Capitals,1,14,14,0,516,36.85,392,131.63,0
2022,David Warner,BAT,6.25,Delhi Capitals ,1,12,12,3,432,48,287,150.52,0
2021,David Warner,BAT,12.5,Sunrisers Hyderabad,1,8,8,0,195,24.37,181,107.73,0
2020,David Warner,BAT,12.5,Sunrisers Hyderabad,1,16,16,2,548,39.14,407,134.64,0
2023,David Wiese,AR,1,Kolkata Knight Riders,1,3,3,2,21,21,11,190.9,0
2024,David Willey,AR,2,Lucknow Super Giants,1,0,0,0,0,0,0,0,0
2023,David Willey,AR,2,Royal Challengers Bangalore,1,4,3,3,35,-,32,109.37,3
2022,David Willey,AR,2,Royal Challengers Bangalore,1,4,2,0,18,9,30,60,1
2021,Dawid Malan,BAT,1.5,Punjab Kings,1,1,1,0,26,26,26,100,0
2024,Deepak Chahar,BOW,14,Chennai Super Kings,,8,-,-,-,-,-,-,
2023,Deepak Chahar,BOW,14,Chennai Super Kings,,10,1,1,1,-,2,50,13
2022,Deepak Chahar,BOW,14,Chennai Super Kings,,0,0,0,0,0,0,0,0
2021,Deepak Chahar,AR,0.8,Chennai Super Kings,,15,2,2,1,-,1,100,14
2020,Deepak Chahar,AR,0.8,Chennai Super Kings,,14,3,2,7,7,12,58.33,12
2024,Deepak Hooda,AR,5.75,Lucknow Super Giants,,11,9,1,145,18.12,105,138.09,0
2023,Deepak Hooda,AR,5.75,Lucknow Super Giants,,12,12,1,84,7.63,90,93.33,0
2022,Deepak Hooda,AR,5.75,Lucknow Super Giants,,15,14,0,451,32.21,330,136.66,1
2021,Deepak Hooda,AR,0.5,Punjab Kings,,12,11,1,160,16,123,130.08,2
2020,Deepak Hooda,AR,0.5,Punjab Kings,,7,5,4,101,101,71,142.25,0
2024,Devdutt Padikkal,BAT,7.75,Lucknow Super Giants,,7,7,0,38,5.42,53,71.69,0
2023,Devdutt Padikkal,BAT,7.75,Rajasthan Royals,,11,11,1,261,26.1,200,130.5,0
2022,Devdutt Padikkal,BAT,7.75,Rajasthan Royals,,17,17,0,376,22.11,306,122.87,0
2021,Devdutt Padikkal,BAT,0.2,Royal Challengers Bangalore,,14,14,1,411,31.61,328,125.3,0
2020,Devdutt Padikkal,BAT,0.2,Royal Challengers Bangalore,,15,15,0,473,31.53,379,124.8,0
2024,Devon Conway,BAT,1,Chennai Super Kings,1,0,0,0,0,0,0,0,0
2023,Devon Conway,BAT,1,Chennai Super Kings,1,16,15,2,672,51.69,481,139.7,0
2022,Devon Conway,BAT,1,Chennai Super Kings,1,7,7,1,252,42,173,145.66,0
2024,Dewald Brevis,BAT,3,Mumbai Indians,1,3,3,0,69,23,59,116.94,0
2023,Dewald Brevis,BAT,3,Mumbai Indians,1,0,0,0,0,0,0,0,0
2022,Dewald Brevis,BAT,3,Mumbai Indians,1,7,7,0,161,23,113,142.47,1
